media,country,week,articles
es_ARG_nacion,CHE,2014-05-19,1
es_VEN_univer,AUS,2014-12-15,7.75
es_ESP_catalu,SYR,2015-04-13,2
en_AUS_austra,VAT,2015-04-06,2
es_CHL_mercur,BRA,2014-07-14,6.5
es_CHL_tercer,SLV,2015-05-18,1.5
en_GBR_guardi,COD,2015-03-09,1
es_CHL_tercer,GBR,2015-03-23,3.5
es_VEN_univer,IRN,2015-04-13,16
en_GBR_dailyt,AZE,2014-09-29,1
en_CHN_chinad,USA,2015-04-06,34.8333333333
fr_FRA_lepari,PAK,2014-12-15,11
en_NZL_nzhera,VAT,2015-01-26,5
en_SGP_twoday,HTI,2015-04-20,1
en_CAN_starca,USA,2014-05-26,18
en_IND_tindia,GBR,2014-03-24,5
en_GBR_dailyt,BGD,2014-09-29,2
fr_FRA_lepari,JPN,2015-02-02,1.5
es_MEX_univer,DEU,2014-11-17,0.5
en_GBR_guardi,HUN,2014-12-08,3
en_USA_nytime,IND,2014-08-04,6.5
en_PAK_newint,MDV,2014-06-16,1
en_ZWE_chroni,ZAF,2015-04-20,3
en_NZL_nzhera,GTM,2015-03-23,2.6666666667
en_NZL_nzhera,ISL,2014-09-01,1
es_ESP_catalu,HKG,2014-11-24,1
en_MLT_tmalta,CHN,2015-01-12,2
es_MEX_univer,PHL,2014-04-21,1.5
es_MEX_univer,CUB,2015-03-23,4.5
en_USA_nytime,PRK,2014-06-02,4
fr_BEL_lesoir,MYS,2015-05-18,2.5
en_CHN_mopost,LBY,2014-08-18,2.5
fr_DZA_xpress,AFG,2015-01-19,1
fr_BEL_derheu,FRA,2014-07-21,10
en_IND_tindia,EGY,2014-09-01,2.5
en_NZL_nzhera,YEM,2014-03-24,7
en_JPN_jatime,GBR,2015-05-25,2
es_ESP_elpais,UKR,2014-04-21,19.5
en_USA_wapost,IRN,2014-08-04,1
en_MYS_starmy,TUR,2015-06-22,10
en_IND_tindia,RUS,2015-05-11,2.5
es_CHL_mercur,KEN,2015-03-30,9.5
en_MYS_starmy,BGD,2015-06-22,1.5
en_GBR_guardi,DEU,2014-01-13,6
en_NZL_nzhera,IRL,2014-11-17,4.5
en_NGA_thiday,BHS,2014-05-26,1
es_CHL_mercur,TWN,2014-08-25,1
en_MYS_starmy,NPL,2015-04-27,52.8333333333
en_IND_tindia,UGA,2014-05-05,0.5
es_CHL_mercur,PSE,2015-04-13,1.5
en_NZL_nzhera,RUS,2014-06-09,5
fr_FRA_lepari,UKR,2014-04-21,22.25
en_MLT_tmalta,AUS,2015-05-04,2
es_MEX_jormex,FRA,2015-06-15,1
en_CHN_mopost,CAN,2015-01-26,2
en_MYS_starmy,MMR,2014-07-21,2
fr_BEL_derheu,DEU,2014-11-17,1
en_AUS_hersun,USA,2015-04-06,1
fr_BEL_lesoir,USA,2015-02-16,7.3333333333
en_NZL_nzhera,HTI,2014-02-03,5
es_ESP_elpais,NLD,2014-12-08,0.5
en_NZL_nzhera,KHM,2014-08-04,6
es_ESP_catalu,MEX,2015-06-22,1
es_CHL_mercur,NGA,2015-02-02,2
en_USA_nytime,IDN,2014-10-13,1
en_USA_nytime,CAF,2014-03-31,4.5
en_GBR_dailyt,THA,2014-02-17,5
en_CHN_chinad,TUR,2014-11-03,1
en_NZL_nzhera,EGY,2015-05-25,14.3333333333
en_NZL_nzhera,ZAF,2015-03-30,3
fr_BEL_lesoir,UKR,2014-03-03,34.1666666667
en_MYS_starmy,CAN,2014-12-01,4.5
es_ESP_elpais,CUB,2015-04-13,3.8333333333
es_MEX_jormex,GRC,2015-04-13,0.5
en_NZL_nzhera,EST,2014-04-28,1
en_MYS_starmy,KOR,2015-02-23,2.5
es_BOL_patria,GIN,2014-10-06,0.5
es_BOL_larazo,VAT,2014-02-17,1
es_VEN_univer,DEU,2014-04-14,2.6666666667
en_USA_nytime,IRQ,2015-04-13,18.3333333333
en_GBR_dailyt,AUS,2014-10-06,4
es_MEX_univer,THA,2015-03-09,1
es_ESP_elpais,GBR,2014-05-12,0.5
en_AUS_austra,UKR,2014-11-03,5.5
en_GBR_guardi,IND,2014-02-24,10
es_CHL_mercur,MMR,2014-11-10,1
en_IND_tindia,DEU,2014-09-22,1
en_CHN_chinad,POL,2014-05-05,1
en_MYS_starmy,ZAF,2015-06-22,4
fr_BEL_derheu,SRB,2015-02-02,0.5
es_ESP_elpais,LBY,2014-07-28,5.5
en_MYS_starmy,THA,2015-05-11,12.5
en_GBR_guardi,SAU,2015-03-16,0.5
en_USA_wapost,HKG,2015-03-09,0.5
es_BOL_patria,BRA,2014-12-08,1.5
es_CHL_mercur,JPN,2014-08-11,2
en_GBR_guardi,USA,2014-12-15,52.5
en_GBR_dailyt,FJI,2015-01-26,1
en_SGP_twoday,PRK,2014-07-14,1.5
en_IND_hindti,TUN,2014-10-20,1
en_GBR_dailyt,NZL,2014-05-19,2
en_CAN_starca,ZAF,2014-02-10,2
en_NZL_nzhera,USA,2014-03-03,159.1666666667
fr_FRA_lepari,POL,2015-03-23,0.5
fr_FRA_lmonde,BGD,2015-03-30,1
es_ESP_catalu,GEO,2014-07-07,1
en_ZWE_chroni,SYR,2014-03-03,0.5
en_GBR_guardi,IRQ,2014-05-12,1.5
en_SGP_twoday,IRQ,2014-07-14,18
es_CHL_mercur,LBY,2014-05-05,1
en_CHN_chinad,SOM,2015-06-01,0.5
en_GBR_guardi,VAT,2014-03-10,2.5
en_JPN_jatime,LBY,2015-03-16,3.5
en_CHN_chinad,UKR,2014-10-06,2
en_NZL_nzhera,TUN,2014-10-27,5
en_GBR_dailyt,IRL,2015-05-11,4
en_MLT_tmalta,GRC,2015-04-13,3
en_ZWE_chroni,BRA,2014-08-11,1
en_IND_tindia,SLE,2014-09-01,1
en_CHN_chinad,DEU,2015-02-23,1
en_PAK_newint,FRA,2014-01-06,6.5
en_USA_nytime,CZE,2014-10-20,0.5
en_PAK_newint,VAT,2014-01-06,1
en_NZL_nzhera,CAF,2014-05-12,2
fr_BEL_lesoir,ESP,2014-09-29,4
en_JPN_jatime,KOR,2015-03-23,1
es_ARG_nacion,FRA,2014-10-13,0.5
fr_FRA_lmonde,ITA,2014-06-09,5
en_MYS_starmy,HUN,2014-05-05,3
en_NZL_nzhera,POL,2014-11-24,6
en_PAK_newint,SWE,2015-04-27,0.5
en_USA_nytime,MMR,2014-06-30,4.5
fr_DZA_elwata,EGY,2014-06-09,2
en_SGP_twoday,SDN,2015-05-04,4.75
en_MLT_tmalta,SYR,2014-10-06,5.5
en_IND_hindti,BGD,2015-03-16,1
en_GBR_dailyt,KAZ,2014-02-17,0.5
en_IND_tindia,MYS,2014-12-29,1
en_USA_nytime,POL,2014-01-27,3
en_JPN_jatime,FRA,2015-01-26,2
en_NZL_nzhera,PAK,2014-09-15,9
es_BOL_larazo,HND,2014-12-22,1
fr_FRA_lepari,KOR,2014-12-29,0.5
fr_FRA_lmonde,COL,2014-06-23,1
en_CHN_mopost,PRY,2015-05-04,3
es_ARG_nacion,VAT,2014-08-18,6.5
fr_FRA_lmonde,AFG,2014-09-01,2.5
en_CHN_chinad,KOR,2014-04-28,1
en_GBR_guardi,COL,2014-08-18,2
en_CHN_mopost,CAN,2014-01-06,2.5
en_NZL_nzhera,LBY,2014-12-22,6
en_NZL_nzhera,ARG,2015-06-22,5
en_GBR_dailyt,KOR,2014-08-18,1.5
en_MYS_starmy,BHR,2014-10-27,2
en_NZL_nzhera,DZA,2014-04-07,3
en_USA_nytime,ETH,2015-03-23,0.3333333333
es_ARG_nacion,ISL,2015-03-09,1
es_BOL_larazo,GBR,2014-02-24,1
en_GBR_dailyt,AFG,2014-06-23,2.5
en_SGP_twoday,TWN,2015-02-09,7
fr_FRA_lepari,SLE,2014-11-17,0.5
en_SGP_twoday,CZE,2015-03-30,2
en_IND_tindia,LBR,2014-08-11,1
en_MLT_tmalta,MYS,2014-04-21,0.5
en_SGP_twoday,CAN,2014-11-10,8
en_USA_nytime,ZMB,2014-11-17,2
es_CHL_tercer,USA,2014-05-05,8.5
es_ARG_nacion,UKR,2014-12-22,1
fr_BEL_lesoir,ESP,2015-01-19,1
en_MLT_tmalta,RUS,2014-12-08,2
es_CHL_mercur,PAN,2014-08-18,1
es_ESP_elpais,PRK,2015-05-04,1
en_GBR_guardi,BHS,2014-04-07,1
en_MYS_starmy,SRB,2015-03-30,5.5
es_ARG_nacion,MEX,2014-07-28,1
en_MLT_tmalta,PRK,2015-03-02,2.5
en_NZL_nzhera,BRA,2014-02-03,11
en_MYS_starmy,KEN,2014-10-06,4.5
fr_DZA_xpress,DEU,2015-05-04,0.5
es_VEN_univer,HTI,2014-10-13,1
es_CHL_tercer,YEM,2015-05-11,2
en_PAK_newint,SDN,2014-10-27,2
en_PAK_newint,POL,2014-03-03,0.5
en_MLT_tmalta,NGA,2015-06-01,1
es_VEN_univer,LBN,2015-04-20,1
en_PAK_newint,USA,2015-05-25,9
en_JPN_jatime,AFG,2014-04-21,2
en_CAN_starca,EGY,2015-02-09,13
en_USA_wapost,IND,2015-01-26,18.3333333333
es_MEX_univer,TUR,2014-04-28,2
es_ESP_catalu,UKR,2015-04-06,2
es_ESP_catalu,SLE,2014-12-29,0.5
en_CHN_chinad,SYR,2015-02-09,0.5
fr_FRA_lmonde,IRN,2015-03-09,3.5
en_SGP_twoday,IDN,2015-06-15,12.5
en_SGP_twoday,PAK,2015-03-16,18
en_ZWE_chroni,CHN,2014-08-25,1
en_CAN_starca,IND,2014-08-18,1
en_NGA_thiday,CHE,2015-05-18,1.5
en_MYS_starmy,LBY,2014-05-19,30.5
es_ESP_catalu,ISR,2015-04-06,0.5
en_JPN_jatime,IRN,2015-06-08,1.25
en_CHN_mopost,ALB,2014-11-17,1
fr_FRA_lmonde,CAF,2014-11-10,1
en_MLT_tmalta,BRA,2015-05-25,1
en_NGA_thiday,USA,2014-05-12,8
en_GBR_dailyt,KEN,2014-10-20,0.5
es_BOL_patria,ESP,2014-11-17,1
en_NZL_nzhera,MWI,2014-01-20,1
en_GBR_dailyt,HKG,2014-09-22,6
fr_BEL_derheu,USA,2014-11-03,4
en_USA_nytime,HTI,2014-09-08,1
fr_DZA_xpress,YEM,2014-09-08,1
fr_FRA_lmonde,KGZ,2014-09-15,1
en_USA_wapost,KWT,2014-01-06,0.5
es_MEX_univer,PHL,2014-07-14,4.5
en_CHN_chinad,KHM,2015-05-04,1.5
en_CAN_starca,CAF,2014-01-06,2
es_MEX_univer,JPN,2014-09-01,2
fr_FRA_lmonde,GRC,2015-03-16,14
en_CHN_mopost,EST,2015-01-12,0.25
en_GBR_dailyt,NLD,2015-04-06,1.6666666667
fr_FRA_lmonde,TUR,2014-01-20,1.5
en_PAK_newint,PHL,2015-04-20,0.8333333333
fr_FRA_lmonde,PSE,2015-03-23,5.5
en_PAK_newint,ISR,2014-11-17,1.5
es_VEN_univer,CHL,2015-05-04,14.5
en_MYS_starmy,TGO,2015-04-27,2
en_GBR_guardi,SGP,2015-06-22,0.5
fr_BEL_lesoir,ISR,2014-07-21,16.25
en_NZL_nzhera,PAK,2015-06-08,8.3333333333
en_MYS_starmy,RWA,2014-11-24,0.5
en_USA_wapost,TWN,2014-12-01,4
es_ESP_elpais,IRQ,2014-09-29,2.8333333333
en_AUS_austra,IND,2015-04-06,3
es_MEX_univer,ITA,2015-01-26,5
en_SGP_twoday,SYR,2015-02-02,30.3333333333
en_SGP_twoday,SOM,2014-12-29,10.5
en_CHN_mopost,DOM,2014-06-23,0.5
en_GBR_guardi,JOR,2014-12-15,1
en_USA_wapost,IRN,2015-03-23,13
es_ESP_elpais,MAR,2015-04-06,2
en_MLT_tmalta,USA,2015-03-02,16.8333333333
en_NZL_nzhera,PHL,2014-07-07,5.5
en_MYS_starmy,MMR,2015-05-04,0.3333333333
en_SGP_twoday,EGY,2014-11-17,15.9166666667
en_GBR_dailyt,SAU,2015-03-23,3.3333333333
es_CHL_tercer,SAU,2014-05-19,0.5
en_NZL_nzhera,BHS,2015-04-27,2
es_CHL_tercer,GRC,2015-06-08,4.3333333333
fr_BEL_derheu,RUS,2015-03-30,2
en_NZL_nzhera,NLD,2015-01-26,9
en_GBR_guardi,LBN,2015-03-16,2
en_JPN_jatime,ARE,2015-02-02,0.3333333333
en_NGA_thiday,VAT,2015-03-16,1
en_AUS_hersun,YEM,2015-06-08,1
en_SGP_twoday,EGY,2015-06-22,7.5
fr_FRA_lmonde,PAK,2014-06-16,2
fr_BEL_lesoir,UKR,2014-09-22,1
en_USA_nytime,PAK,2014-12-15,21.5
en_CAN_starca,CAF,2014-03-10,2
en_MLT_tmalta,IRN,2014-05-26,1
en_CAN_starca,DEU,2015-02-23,1
en_NZL_nzhera,GRC,2014-04-14,4
es_VEN_univer,ISR,2014-06-23,2.5
en_CHN_chinad,LKA,2015-01-26,2
es_BOL_larazo,PER,2014-09-15,1.5
en_SGP_twoday,URY,2014-12-01,8
en_IND_tindia,TWN,2014-10-13,0.3333333333
en_SGP_twoday,MNG,2015-02-02,0.3333333333
es_MEX_univer,ESP,2015-04-27,3.5
fr_DZA_xpress,CMR,2014-12-01,0.5
en_IND_hindti,MYS,2015-04-13,1
es_CHL_mercur,ECU,2015-05-25,1
es_CHL_mercur,BOL,2014-08-25,4.5
en_USA_wapost,IND,2014-05-19,3
en_PAK_newint,BRA,2014-10-27,2
fr_FRA_lmonde,KOR,2015-04-13,2
en_NZL_nzhera,SWE,2015-06-22,1
en_CAN_starca,TUR,2015-04-13,1.3333333333
en_GBR_dailyt,PNG,2014-02-17,0.5
en_USA_wapost,RUS,2014-09-29,6.3333333333
en_MLT_tmalta,UKR,2014-06-30,5.5
es_BOL_patria,CHN,2015-04-20,1
es_ESP_catalu,GBR,2014-10-13,10.8333333333
es_CHL_tercer,SWE,2014-10-20,4
es_CHL_mercur,SYR,2014-08-25,19
en_CAN_starca,ALB,2014-12-29,0.5
en_CHN_chinad,PHL,2014-08-04,3
en_NZL_nzhera,HUN,2015-06-15,6.5
en_GBR_dailyt,PHL,2014-04-21,2.5
en_NZL_nzhera,SAU,2014-10-13,4.5
es_VEN_univer,AFG,2014-06-23,1
en_GBR_guardi,USA,2014-08-11,84
en_IND_tindia,TUN,2014-06-30,0.5
es_CHL_tercer,FRA,2014-08-25,6
es_ARG_nacion,CUB,2014-07-21,4
en_CHN_mopost,GIN,2014-04-14,2.5
en_MLT_tmalta,CAN,2014-06-30,1
en_MYS_starmy,THA,2014-07-21,6
fr_BEL_lesoir,PHL,2015-01-26,0.2
en_PAK_newint,TJK,2014-10-06,1
en_NZL_nzhera,SDN,2015-01-12,1
es_BOL_patria,YEM,2014-12-01,1
es_ARG_nacion,CHL,2014-10-06,1
en_JPN_jatime,CUB,2014-10-20,1
es_VEN_univer,PNG,2014-06-30,0.5
en_IND_tindia,PAK,2015-01-19,2.5
en_MYS_starmy,KHM,2015-03-02,2
es_BOL_larazo,ESP,2015-03-16,0.5
en_ZWE_chroni,AGO,2015-05-18,1
en_IND_hindti,CHN,2014-09-15,3
es_CHL_tercer,XK,2015-03-09,0.3333333333
en_PAK_newint,JPN,2014-10-20,1.5
en_GBR_guardi,NGA,2015-05-04,3
en_MLT_tmalta,IND,2014-09-08,1.5
fr_BEL_derheu,EGY,2014-06-16,1
fr_DZA_xpress,ISR,2015-02-09,1.5
es_MEX_univer,ECU,2014-11-17,1
en_MYS_starmy,ZMB,2014-09-15,1
es_CHL_mercur,IRN,2015-01-19,0.8333333333
en_NZL_nzhera,SLV,2014-05-26,2.5
fr_FRA_lmonde,FSM,2015-03-30,0.5
es_MEX_univer,IDN,2014-11-24,1
en_SGP_twoday,LBY,2014-11-24,12
en_AUS_hersun,RUS,2014-03-31,2
fr_FRA_lmonde,GBR,2014-03-24,6
en_GBR_dailyt,ARG,2014-08-04,1
en_USA_nytime,BEL,2014-01-20,0.5
en_SGP_twoday,SVN,2015-06-15,1.3333333333
en_MYS_starmy,CAN,2014-12-22,1.5
en_PAK_newint,LBN,2014-02-17,1
en_NZL_nzhera,USA,2015-04-13,212.5
en_IND_tindia,SSD,2014-02-03,0.3333333333
es_ESP_catalu,USA,2015-01-05,7.5
en_GBR_guardi,IND,2014-12-15,6
es_ESP_elpais,SLE,2014-10-13,2
en_NZL_nzhera,SYR,2014-12-08,11.6666666667
en_USA_nytime,PRK,2015-03-23,1
es_ESP_catalu,VAT,2015-05-11,1
es_ESP_elpais,IDN,2015-01-05,1
en_CHN_chinad,PAK,2014-04-07,3
es_BOL_patria,MEX,2014-03-24,1
en_NZL_nzhera,NOR,2014-05-12,2.5
es_ESP_elpais,FRA,2014-07-21,3.5
fr_FRA_lmonde,NPL,2015-01-19,1
es_ESP_catalu,NGA,2014-05-05,13
es_MEX_univer,URY,2015-02-02,3.5
en_GBR_dailyt,LBY,2015-06-15,1.5
fr_FRA_lmonde,CAN,2014-12-22,1
es_CHL_tercer,CHN,2014-08-11,0.3333333333
fr_FRA_lepari,GBR,2015-06-08,2
es_MEX_univer,UGA,2014-07-28,3
en_SGP_twoday,CIV,2014-06-09,1
es_BOL_patria,ITA,2015-04-27,1
es_BOL_larazo,TWN,2015-02-02,2
en_SGP_twoday,LKA,2014-07-07,4.5
en_GBR_guardi,THA,2015-03-30,6
en_SGP_twoday,LBR,2015-03-30,0.3333333333
es_CHL_mercur,ZAF,2014-12-01,1
en_MYS_starmy,MAR,2014-11-10,0.5
en_JPN_jatime,GIN,2014-09-15,1
en_CHN_chinad,TUR,2015-01-26,0.3333333333
fr_DZA_elwata,GBR,2014-02-17,1
es_MEX_jormex,PSE,2014-06-30,3
en_GBR_guardi,KOR,2015-03-02,7.3333333333
fr_FRA_lepari,IRQ,2014-07-28,4
fr_BEL_derheu,CAN,2014-06-02,4
en_USA_nytime,GBR,2014-10-13,6
en_GBR_guardi,USA,2014-09-08,60.4166666667
fr_DZA_xpress,QAT,2014-05-05,0.5
en_JPN_jatime,NGA,2014-07-14,1
es_MEX_jormex,ARG,2014-11-17,3
en_IND_tindia,PAK,2014-02-03,3
en_PAK_newint,NGA,2014-07-14,1
en_CHN_chinad,SDN,2014-01-20,3
en_CHN_chinad,JPN,2015-02-16,6
en_CHN_mopost,MYS,2014-02-10,0.5
en_GBR_guardi,DNK,2015-03-23,1.8333333333
es_CHL_mercur,CAN,2014-06-02,3
en_JPN_jatime,FRA,2014-08-04,1
en_MYS_starmy,FIN,2014-06-02,1
es_ESP_catalu,PAK,2014-11-03,1.5
en_PAK_newint,IND,2015-03-09,4.5
fr_FRA_lmonde,IND,2014-01-13,3.5
en_CAN_starca,MAR,2014-03-31,0.5
en_NZL_nzhera,LBR,2014-04-21,1
en_MLT_tmalta,VAT,2015-05-18,1.5
en_MLT_tmalta,EGY,2014-08-11,1
en_PAK_newint,USA,2014-05-12,5.3333333333
en_SGP_twoday,CAF,2015-04-20,1.5
en_NZL_nzhera,KAZ,2014-01-06,0.5
en_IND_hindti,SEN,2014-09-22,0.5
en_CHN_chinad,TWN,2015-03-30,1.5
en_IND_tindia,NPL,2014-02-10,5
es_ESP_catalu,DEU,2014-08-18,1.3333333333
es_ESP_elpais,PAK,2015-04-06,1.1666666667
en_MYS_starmy,KOR,2015-04-20,3.3333333333
en_MYS_starmy,CYP,2014-05-26,1
en_SGP_twoday,TCD,2014-10-20,1
es_CHL_mercur,IRQ,2014-09-08,1
fr_DZA_xpress,ISR,2014-11-10,1
en_GBR_guardi,GRC,2014-09-22,3
en_NZL_nzhera,GUY,2014-08-18,2.5
en_MLT_tmalta,LBY,2015-03-30,2
fr_CAN_jmontr,NPL,2014-10-20,2
en_MYS_starmy,CHN,2015-04-27,21.3333333333
en_SGP_twoday,ETH,2015-03-30,1
en_MYS_starmy,SGP,2015-02-23,2
en_CHN_mopost,LBN,2014-10-13,1
es_VEN_univer,AFG,2014-04-21,6
en_MYS_starmy,ARG,2015-01-12,1.5
en_ZWE_chroni,FRA,2015-03-30,1
es_MEX_univer,PRK,2014-10-13,3.5
en_MYS_starmy,XK,2014-11-03,2
fr_DZA_xpress,IRQ,2014-01-13,4.5
en_MLT_tmalta,NPL,2014-10-13,1
en_CHN_chinad,YEM,2015-02-23,0.5
en_CHN_chinad,LKA,2014-06-16,1
en_USA_nytime,TUR,2014-10-27,11.5
es_VEN_univer,LBY,2014-07-14,2.5
en_SGP_twoday,BIH,2014-10-06,3
fr_FRA_lmonde,USA,2014-10-13,32.5
es_MEX_univer,VAT,2015-03-09,12
en_SGP_twoday,BGD,2014-10-13,3.5
en_GBR_guardi,EGY,2014-07-14,8.5
en_MYS_starmy,CYP,2015-06-01,2.8333333333
fr_BEL_lesoir,USA,2014-02-10,20
en_NZL_nzhera,VEN,2015-06-08,7.5
en_GBR_dailyt,AUS,2014-09-29,6.5
en_IND_hindti,IRN,2014-06-23,0.5833333333
fr_CAN_jmontr,PAK,2014-11-10,1
fr_CAN_jmontr,RUS,2014-06-02,2.3333333333
en_IND_tindia,BGD,2015-03-23,3
es_CHL_tercer,JPN,2014-11-10,0.5
en_IND_hindti,CHE,2015-04-27,0.5
en_CAN_starca,PSE,2014-12-08,2
en_MYS_starmy,CAF,2015-04-13,1.5
en_NZL_nzhera,KHM,2014-05-19,0.5
es_ESP_elpais,VAT,2014-09-15,1
en_IND_tindia,TUR,2014-07-21,1.5
en_MYS_starmy,ZAF,2014-08-25,1.5
en_IND_tindia,IRQ,2014-07-07,4
en_MYS_starmy,SYR,2015-03-23,22.8333333333
en_NZL_nzhera,PRK,2014-04-21,1
es_CHL_mercur,VEN,2015-04-13,6
en_CHN_mopost,NGA,2014-10-20,2
en_NZL_nzhera,TUR,2014-06-30,4.8333333333
en_NZL_nzhera,VAT,2014-11-24,13.3333333333
es_CHL_tercer,RUS,2014-07-07,8.3333333333
en_GBR_dailyt,RUS,2014-11-03,7.5
fr_BEL_lesoir,COG,2014-09-29,1
en_NZL_nzhera,MEX,2014-01-06,8.5
es_ESP_catalu,IND,2015-03-16,2
en_NGA_thiday,GHA,2015-03-09,2
en_JPN_jatime,SYR,2015-04-06,3
es_ESP_catalu,VEN,2015-02-09,2
en_AUS_austra,RUS,2014-03-31,5.3333333333
en_NZL_nzhera,MMR,2014-08-25,2
en_CHN_chinad,AUS,2014-07-14,2.5
en_SGP_twoday,IDN,2014-12-15,5.5
en_USA_nytime,UGA,2014-02-24,1
en_USA_nytime,GBR,2015-01-05,6
es_ESP_elpais,ISR,2015-05-04,9
en_NZL_nzhera,KOR,2015-02-09,7
fr_FRA_lepari,ESP,2014-05-26,2
en_MYS_starmy,SLE,2014-04-28,1
en_SGP_twoday,SAU,2014-05-05,3
fr_CAN_jmontr,IRN,2015-03-23,1
en_NZL_nzhera,LKA,2014-09-15,1
en_IND_tindia,BGD,2015-03-02,3
en_CHN_mopost,LBR,2014-08-04,1
en_CHN_chinad,ISR,2014-05-12,4
fr_BEL_derheu,TWN,2014-07-21,4
en_NZL_nzhera,CAN,2014-09-01,9.5
en_SGP_twoday,BEL,2014-11-03,1.5
en_GBR_dailyt,LBY,2014-03-24,1
en_MLT_tmalta,ITA,2014-08-25,1
fr_BEL_lesoir,IRQ,2015-02-09,1
es_BOL_larazo,ARG,2014-05-26,2
fr_FRA_lepari,VAT,2014-11-24,1
es_CHL_mercur,ESP,2014-12-08,3.5
en_SGP_twoday,IRN,2015-05-18,16.3333333333
es_ESP_elpais,KOR,2014-06-23,1
es_MEX_jormex,SYR,2014-06-23,3
es_ARG_nacion,ESP,2014-07-14,2
fr_FRA_lmonde,PRT,2015-05-18,2
en_USA_nytime,UKR,2014-09-15,12
fr_FRA_lepari,EGY,2014-11-24,4
en_IND_tindia,DEU,2015-02-09,1.6666666667
en_MYS_starmy,GRC,2014-08-11,1
en_AUS_austra,UKR,2014-12-08,1
en_MYS_starmy,VAT,2015-06-15,15.5
es_MEX_univer,AFG,2015-05-04,4
es_VEN_univer,GBR,2015-04-06,8
en_GBR_dailyt,CZE,2015-06-22,1
en_CHN_chinad,HUN,2015-03-23,1
en_PAK_newint,IRQ,2014-11-17,1
en_GBR_guardi,JPN,2014-11-10,7
es_VEN_univer,IRQ,2014-10-13,9.5
es_MEX_univer,BEL,2014-08-25,1.5
en_PAK_newint,MDV,2015-03-23,2
es_ARG_nacion,GBR,2015-04-13,1
en_USA_nytime,JOR,2014-09-08,0.5
es_ARG_nacion,BRA,2015-06-15,2.5
fr_FRA_lmonde,YEM,2015-06-01,5.5
en_USA_nytime,IDN,2014-01-13,1
fr_CAN_jmontr,UKR,2014-11-03,3.5
fr_DZA_xpress,MRT,2014-08-18,1
en_NZL_nzhera,ROU,2014-02-03,2
fr_BEL_derheu,VUT,2015-03-16,2
fr_DZA_elwata,RUS,2014-08-25,0.5
es_CHL_tercer,AUT,2014-04-07,0.5
fr_BEL_lesoir,DEU,2015-06-22,0.3333333333
en_SGP_twoday,BEL,2014-09-15,3
en_IND_tindia,PSE,2014-09-29,0.5
en_NZL_nzhera,ALB,2014-05-12,0.5
en_SGP_twoday,FRA,2015-06-08,5.8333333333
es_BOL_patria,LBY,2014-09-08,1
en_CHN_chinad,EGY,2015-02-02,3.5
en_PAK_newint,KGZ,2015-04-06,1
es_MEX_univer,BGD,2015-02-02,2
en_CHN_mopost,QAT,2014-02-24,3
en_IND_hindti,DZA,2014-04-21,1
es_CHL_mercur,ISR,2015-02-23,2.5
es_BOL_patria,SLV,2014-03-24,1
en_AUS_hersun,IDN,2015-06-15,1
es_BOL_larazo,ITA,2014-07-14,1
en_USA_wapost,PRK,2015-05-11,6
en_AUS_austra,SYR,2014-08-25,5
es_VEN_univer,NER,2014-12-29,0.5
en_IND_tindia,IDN,2015-03-16,1
en_GBR_guardi,SOM,2014-04-21,1
en_GBR_guardi,KEN,2014-06-30,5
en_GBR_guardi,NZL,2015-01-05,4
en_CHN_mopost,SLE,2014-12-08,1
en_AUS_austra,JPN,2015-05-18,1
en_JPN_jatime,THA,2015-03-16,1
es_MEX_jormex,CHL,2014-11-17,1
en_USA_nytime,UKR,2014-05-12,25
en_CAN_starca,BGD,2015-05-18,1
es_CHL_tercer,ESP,2014-05-19,1.5
en_GBR_guardi,PRK,2015-05-18,9
es_BOL_larazo,FRA,2014-06-09,0.5
en_GBR_guardi,USA,2014-02-17,83.9166666667
fr_BEL_lesoir,IRQ,2014-04-28,2
es_MEX_jormex,ITA,2015-05-04,3
en_CHN_chinad,TGO,2014-05-05,0.5
en_MYS_starmy,ITA,2014-05-12,6
es_VEN_univer,CZE,2014-09-01,0.5
en_NZL_nzhera,GBR,2015-05-11,25.5
en_GBR_guardi,JPN,2014-04-21,2.8333333333
es_VEN_univer,IRQ,2015-05-04,5
en_GBR_guardi,POL,2015-02-16,1
en_USA_nytime,DNK,2014-02-10,1
en_JPN_jatime,SDN,2014-07-28,1
es_ESP_elpais,BEL,2015-01-19,1
es_ESP_elpais,IRN,2015-03-30,32
en_IND_hindti,NLD,2014-10-06,1
en_GBR_guardi,UKR,2014-06-16,6
es_VEN_univer,CMR,2014-08-18,0.5
en_USA_nytime,ESP,2015-02-16,3
es_CHL_tercer,KOR,2015-02-02,2
en_NZL_nzhera,CAN,2014-05-26,3
fr_DZA_xpress,VEN,2014-07-28,0.5
en_ZWE_chroni,KHM,2014-12-22,1
en_GBR_guardi,NPL,2015-01-19,2
en_MYS_starmy,IRL,2014-09-01,0.5
es_VEN_univer,KOR,2015-02-09,0.5
es_ESP_elpais,AFG,2014-03-24,2
en_NGA_thiday,BRA,2014-02-24,3
en_CHN_chinad,IND,2015-01-26,9.3333333333
en_SGP_twoday,JOR,2015-03-02,1.5
en_NZL_nzhera,CAN,2014-01-13,6.5
en_IND_hindti,FRA,2014-04-14,0.5
en_JPN_jatime,ISR,2014-06-16,1
en_MLT_tmalta,GRC,2014-12-29,4
