media,country,week,articles
en_MYS_starmy,IRQ,2015-06-15,10
fr_FRA_lmonde,HKG,2014-09-29,1.5
en_IND_hindti,IDN,2015-03-23,0.5
es_CHL_mercur,ISR,2014-08-11,10.8333333333
en_MYS_starmy,PAN,2014-05-05,5
es_MEX_univer,CHN,2014-12-29,7
en_IND_tindia,CAN,2015-01-26,1
en_GBR_dailyt,COL,2015-02-23,0.5
en_MYS_starmy,KOR,2014-12-29,2
es_BOL_patria,PRY,2014-12-15,1
en_CHN_chinad,EGY,2014-10-06,1
fr_DZA_xpress,ISR,2014-09-15,0.5
en_NZL_nzhera,SWE,2014-02-10,1.5
en_ZWE_chroni,SDN,2014-10-27,0.5
en_GBR_dailyt,LBN,2015-06-15,1
en_USA_wapost,TUR,2014-12-08,1
en_NZL_nzhera,ROU,2014-10-27,4
es_VEN_univer,LBY,2015-04-06,0.5
en_AUS_austra,CMR,2015-02-09,0.5
en_NZL_nzhera,ARG,2014-09-01,4
es_BOL_larazo,CMR,2014-09-01,1
es_ARG_nacion,FRA,2015-01-19,2
es_VEN_univer,MEX,2015-02-23,5
fr_FRA_lmonde,PSE,2014-10-13,7
es_MEX_univer,AFG,2014-12-15,6
en_AUS_austra,DEU,2014-08-18,0.5
en_SGP_twoday,TCD,2015-03-09,4.8333333333
fr_BEL_lesoir,CRI,2014-03-03,1
fr_FRA_lmonde,DEU,2015-03-30,3
en_NGA_thiday,BIH,2014-04-21,0.5
en_ZWE_chroni,ISR,2014-12-15,0.5
fr_BEL_derheu,RUS,2015-01-19,0.5
fr_FRA_lmonde,BRA,2015-04-13,2
fr_FRA_lmonde,USA,2014-09-15,19.6666666667
en_JPN_jatime,TUR,2014-07-07,1
en_MYS_starmy,BGD,2015-04-20,2
en_CHN_mopost,HKG,2015-02-23,4
en_NZL_nzhera,CRI,2015-03-30,2
en_PAK_newint,DEU,2015-06-01,0.3333333333
es_CHL_mercur,AFG,2015-06-01,1.5
es_ESP_elpais,SAU,2015-05-18,7
en_CHN_chinad,VAT,2014-05-26,1.3333333333
fr_BEL_lesoir,TUN,2015-01-05,1
en_USA_wapost,DEU,2014-05-12,2.5
en_CHN_chinad,DJI,2014-08-25,1
en_GBR_dailyt,HKG,2015-06-15,4
