"","stories_id","publish_date","title","url","language","ap_syndicated","themes","media_id","media_name","media_url","media_pub_country","media_pub_state","media_language","media_about_country","media_media_type"
"271245",608779506,"2017-04-13 12:28:29","Syrie : l'«axe de la résistance» renforcé","http://www.lefigaro.fr/international/2017/04/13/01003-20170413ARTFIG00256-syrie-l-axe-de-la-resistance-renforce.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"190658",195443878,"2014-01-20 08:05:00","Le recul en trompe l'&#339;il des frais bancaires","http://www.lefigaro.fr/conso/2014/01/20/05007-20140120ARTFIG00325-le-recul-en-trompe-l-oeil-des-frais-bancaires.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"226527",545645855,"2016-11-24 07:12:40","Mort de William Trevor, maître du désenchantement","http://www.lefigaro.fr/livres/2016/11/24/03005-20161124ARTFIG00150-mort-de-william-trevor-maitre-du-desenchantement.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"179438",110373816,"2013-04-18 16:19:00","IBM veut supprimer jusqu'à 15% des effectifs en France (syndicats)","http://feeds.lefigaro.fr/c/32266/f/438191/s/2ae0f19d/l/0L0Slefigaro0Bfr0Cflash0Eeco0C20A130C0A40C180C970A0A20E20A130A418FILWWW0A0A6340Eibm0Eveut0Esupprimer0Ejusqu0Ea0E150Edes0Eeffectifs0Een0Efrance0Esyndicats0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"400974",1236297443,"2019-03-29 03:56:35","Marlène Schiappa: «Mettre en avant des modèles féminins dans le numérique»","http://www.lefigaro.fr/conjoncture/marlene-schiappa-mettre-en-avant-des-modeles-feminins-dans-le-numerique-20190328","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"383112",1140383938,"2019-01-08 10:38:57","Gilets Jaunes : le CSA réunira jeudi les chaînes d'information","http://www.lefigaro.fr/medias/2019/01/08/20004-20190108ARTFIG00104-gilets-jaunes-le-csa-va-convoquer-les-chaines-d-information.php?redirect_premium","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"37665",308229592,"2015-01-09 17:13:25","La BCE envisagerait de racheter 500 milliards d'euros de dettes","http://www.lefigaro.fr/conjoncture/2015/01/09/20002-20150109ARTFIG00274-la-bce-envisagerait-de-racheter-500milliards-d-euros-de-dettes.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"260819",583399801,"2017-02-19 14:08:44","L'inconnue Trump pèse sur l'implication du FMI","http://www.lefigaro.fr/conjoncture/2017/02/19/20002-20170219ARTFIG00164-l-inconnue-trump-pese-sur-l-implication-du-fmi.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"8942",336564088,"2015-04-17 08:55:19","Sapin: «la France déteste qu'on la force»","http://feeds.lefigaro.fr/c/32266/f/438191/s/457caa8d/sc/34/l/0L0Slefigaro0Bfr0Cflash0Eeco0C20A150C0A40C170C970A0A20E20A150A417FILWWW0A0A20A50Esapin0Ea0Eschuble0Ela0Efrance0Edeteste0Equ0Eon0Ela0Eforce0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"171119",117492606,"2013-05-16 10:17:00","Sécu : rembourser les assurés  en fonction de leurs revenus","http://www.lefigaro.fr/conjoncture/2013/05/16/20002-20130516ARTFIG00486-secu-rembourser-les-assures-en-fonction-de-leurs-revenus.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"251030",567565537,"2017-01-15 11:33:13","Mélenchon exclut toute idée de rapprochement avec les socialistes","http://www.lefigaro.fr/politique/2017/01/15/01002-20170115ARTFIG00138-melenchon-exclut-toute-idee-de-rapprochement-avec-les-socialistes.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"370236",1041942741,"2018-10-28 18:17:19","Jair Bolsonaro élu président du Brésil","http://www.lefigaro.fr/flash-actu/2018/10/28/97001-20181028FILWWW00200-bresil-bolsonaro-en-passe-d-etre-elu-avec-56.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
